PB_DANE,Cluster,INDICADOR,Total_Numero_Credito de consumo,Total_Monto_Microcredito,Depósitos en cuenta corriente bancaria,Total_Numero_Transacciones corresponsal movil,Cuentas de ahorro especial,Créditos de vivienda,Total_Numero_Numero de corresponsales moviles,Total_Monto_Credito de vivienda,Porc_trabajos_formales,Total_Monto_Credito de consumo,CodigoM,Municipio,Código Entidad,Cobertura_edu_total,Cobertura_edu_media,Tasa_repitencia,Total_Saldo_Cuentas de Ahorro,Certificados de depósito a término,Provisión general
70001,6,0.1940059940059091,696926.0,68827.00234962,1267398.8236953497,610.0,13220.18571046,1882268.97710789,51.0,59278.22989216,0.2571,728684.15401422,70001,SINCELEJO,70001,100.15,55.31,6.61,4023116398467.57,1529190855577.29,16612565145.93
70221,0,0.1923077333333333,5114.0,388.29948983,260232.67222023002,0.0,40.40359328,4839.38872658,0.0,72.0,0.12359999999999999,5336.71836215,70221,COVENAS,70221,98.31,45.54,7.44,163912591324.24,10872107603.9,0.0
70708,0,0.113358336689375,4056.0,26824.09338378,28464.21857858,0.0,27.211034079999997,44409.14279014,4.0,2328.95262,0.0493,26508.204278139998,70708,SAN MARCOS,70708,93.13,44.65,7.44,215336783141.49,67394622401.5,1432033250.05
73001,3,0.49112777418660786,1028064.0,188032.12163595002,1573579.53634038,37447.0,59817.19643239,9455931.422669651,180.0,549541.64794937,0.3408,1628568.87571665,73001,IBAGUE,73001,109.16,58.41,5.41,10122594259271.1,5965169176280.29,49125329484.57
73067,0,0.15632754342425806,380.0,6799.19544,4522.5973851300005,0.0,0.0,20.0,4.0,20.0,0.0327,748.70837877,73067,ATACO,73067,97.76,35.87,1.95,57623440400.58,4224916055.1899996,1108763504.68
73168,0,0.18344055944048485,16004.0,36427.9430576,28532.90386682,0.0,322.23610491000005,114508.16748993,1.0,5668.09864381,0.10310000000000001,33534.94540671,73168,CHAPARRAL,73168,88.82,41.23,1.95,346898378522.67004,125892193013.41,1922533400.49
73616,0,0.2052038284296129,401.0,11336.49189,6987.60858355,0.0,0.0,1877.394916,0.0,258.97506,0.0418,1093.95325417,73616,RIOBLANCO,73616,83.5,35.89,1.95,63167772249.19,8205247843.28,1860658068.03
76001,2,0.29968817605363707,7127655.0,427494.17723121995,15556801.38025432,205252.0,313013.64609348,39161672.99608138,526.0,2364046.4170319103,0.4132,10810576.4623955,76001,CALI,76001,81.73,50.11,6.72,58797639485135.06,55724014095044.164,266411540379.39
76109,0,0.18563956043945,104818.0,35964.38533404,722692.51813689,159.0,4786.885038189999,382162.75263084995,19.0,20444.83045084,0.1112,310686.29758532,76109,BUENAVENTURA,76109,72.67,34.97,5.15,1987895699725.36,881337469464.12,3800858874.53
76147,6,0.1406769230769,166561.0,38341.69690526999,376719.06813179,4153.0,24387.832873569998,767658.21881448,135.0,30660.83452336,0.2482,221586.37913032,76147,CARTAGO,76147,75.34,46.5,5.73,1285190839888.57,1149408657648.05,5783245959.26
76306,0,0.15776026983471875,5320.0,1430.77946051,12131.19261608,0.0,7.28313548,21427.93107081,1.0,2118.466358,0.09699999999999999,13595.3461927,76306,GINEBRA,76306,82.11,55.42,8.59,49402751577.66,60079561671.96001,406001933.47
76834,6,0.13461538461525,231240.0,77955.62943344,609304.58212418,88.0,15635.32523072,939966.6381947299,19.0,221144.97858147,0.2076,375031.18573728,76834,TULUA,76834,72.69,49.91,6.56,2726054680054.17,1416476139145.98,7586195906.46
81001,6,0.20177917320771427,52482.0,37396.140601989995,613053.21661448,1172.0,1891.52269338,191290.21828895,31.0,7675.790625,0.2434,122299.42155326999,81001,ARAUCA,81001,103.46,43.95,4.68,1455086167737.5,323932095117.04,2787485000.21
85001,6,0.14285714285707143,291318.0,75232.90626455999,838145.40451308,5221.0,22185.22606125,897478.39574742,36.0,32805.39973861,0.5081,437770.47421499,85001,YOPAL,85001,100.03,53.77,7.69,4752583548703.39,1022125381353.55,8595642979.85
85162,0,0.21358571620328573,3508.0,6028.20922257,18513.20892461,0.0,24.00008936,6044.00593565,0.0,151.019948,0.1343,12436.020908370001,85162,MONTERREY,85162,87.75,49.26,6.24,149772273584.66,68987234663.93,758808586.04
86001,6,0.36538461538425004,12849.0,41883.226924940005,349339.79235046,3.0,672.6197259500001,127026.78329096001,4.0,5288.47482104,0.3189,71193.14430936999,86001,MOCOA,86001,83.34,43.42,6.62,1648811100496.98,338305702696.23,2860150100.42
